;Present.Benthic.Mean.Depth.Chlorophyll.Range;Present.Benthic.Mean.Depth.Current.Velocity.Mean.tif.BOv2_1;Present.Benthic.Mean.Depth.Current.Velocity.Range.tif.BOv2_1;Present.Benthic.Mean.Depth.Dissolved.oxygen.Mean;Present.Benthic.Mean.Depth.Dissolved.oxygen.Range;Present.Benthic.Mean.Depth.Light.bottom.Mean;Present.Benthic.Mean.Depth.Light.bottom.Range;Present.Benthic.Mean.Depth.Salinity.Mean;Present.Benthic.Mean.Depth.Salinity.Range;Present.Benthic.Mean.Depth.Silicate.Mean;Present.Benthic.Mean.Depth.Temperature.Mean;Present.Benthic.Mean.Depth.Temperature.Range;Present.Surface.Chlorophyll.Mean;Present.Surface.Chlorophyll.Range;Present.Surface.Cloud.cover.Mean.BOv2_2;Present.Surface.Current.Velocity.Mean.tif.BOv2_1;Present.Surface.Current.Velocity.Range.tif.BOv2_1;Present.Surface.Dissolved.oxygen.Mean;Present.Surface.Dissolved.oxygen.Range;Present.Surface.Iron.Range;Present.Surface.Salinity.Mean;Present.Surface.Salinity.Range;Present.Surface.Temperature.Mean
Present.Benthic.Mean.Depth.Chlorophyll.Range;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Current.Velocity.Mean.tif.BOv2_1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Current.Velocity.Range.tif.BOv2_1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Dissolved.oxygen.Mean;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Dissolved.oxygen.Range;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Light.bottom.Mean;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Light.bottom.Range;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Salinity.Mean;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Salinity.Range;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Silicate.Mean;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Temperature.Mean;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Present.Benthic.Mean.Depth.Temperature.Range;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Present.Surface.Chlorophyll.Mean;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Present.Surface.Chlorophyll.Range;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Present.Surface.Cloud.cover.Mean.BOv2_2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Present.Surface.Current.Velocity.Mean.tif.BOv2_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Present.Surface.Current.Velocity.Range.tif.BOv2_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Present.Surface.Dissolved.oxygen.Mean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Present.Surface.Dissolved.oxygen.Range;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Present.Surface.Iron.Range;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Present.Surface.Salinity.Mean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Present.Surface.Salinity.Range;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Present.Surface.Temperature.Mean;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
